@RELATION tweets

@attribute class {N,M,MM,MMM}
@attribute text String

@DATA
M,'#6AM Aseguró que, si las muertes y contagios aumentan, las medidas sanitarias se mantendrían en diciembre. https://t.co/AhVHCixo3F'
N,'#Actualidad | @FiscaliaCol fortalecerá capacidad investigativa para adelantar casos de violencia de género &gt,&gt, https://t.co/JJbehaKZw6 https://t.co/qg3yALgr1c'
M,'#Actualidad | Colombia alcanzó 31.135 muertes por COVID-19, y se registraron 10.029 nuevos casos &gt,&gt, https://t.co/iaBd6zu6KG https://t.co/S9PwRfLHJ0'
M,'#Ampliación | Colombia se acerca a 1.100.000 contagios de coronavirus y reporta 177 nuevas muertes https://t.co/nXyJ7Snrrs'
MM,'#FranciscoElMatemático | Los problemas de violencia en su familia, no sentirse parte de sus amigos y una decepción en el amor llevaron a la joven al límite. https://t.co/qHzMJRfrHI'
N,'#Hora20 Panelistas creen que es importante la presencia prolongada de Fuerza Pública y el acompañamiento de las instituciones en las zonas de violencia. https://t.co/oIjPckJOCB'
M,'#Internacional | Francia vuelve a superar la cifra de fallecidos, con 430 muertes en un día &gt,&gt, https://t.co/7xzcCK5XYX https://t.co/hgC9fBodyZ'
MM,'#Judicial El empresario deberá responder por narcotráfico. https://t.co/oYPEt81git'
MM,'#LideraLaVida | Líderes sociales piden al gobierno dejar de negar situación de violencia y asumir su obligación https://t.co/9SLRkmofjM'
N,'#Nacional Así lo manifestó en el diálogo social para la defensa de derechos y la deslegitimación de la violencia. https://t.co/AXynKcDA8n'
M,'⚠️ ACTUALIZACIÓN ⚠️ Colombia registra 6.136 contagios y 177 muertes más por covid-19. Le contamos todos los detalles 👉 https://t.co/oEL2Odk9Dd https://t.co/WakjMkUrro'
M,'El Ministerio de Salud reportó 11.187 nuevos contagios y 173 muertes más en Colombia. Siga aquí el análisis en vivo de las cifras ► https://t.co/aGFZPkIFmm https://t.co/uOmyvDYI5r'
MM,'Extraditan a EE. UU. por narcotráfico a Fabio Simón Younes Arboleda, señalado socio de Santrich https://t.co/eBQulkj4Ag https://t.co/5EnE7XBsxh'
M,'América Latina y el Caribe supera las 400.000 muertes por covid https://t.co/ipq5Bsyi5Z'
M,'Atlántico suma 230 casos y 4 muertes por COVID-19 este domingo &gt,&gt,&gt, https://t.co/oNhBRcvgem'
MM,'Autoridades denuncian una violenta disputa por el control de las rutas del narcotráfico. Los enfrentamientos de las últimas horas dejan dos personas muertas. https://t.co/ya0bRww6j5'
M,'Avanza caravana humanitaria al Cañón del Micay por violencia en el Cauca  https://t.co/A1nkovE1kx'
N,'Barranquilla completa 9 días en octubre sin muertes por covid-19 https://t.co/HaXGclZMpj'
MMM,'Camilo Andrés Mendoza, un mensajero de 32 años, resultó gravemente herido tras ser víctima de un atraco en Ciudad Bolívar. El hombre se encuentra en una UCI en estado crítico. https://t.co/3nJ21zBecS'
MM,'CIDH manifiesta su preocupación por aumento de la violencia en el país https://t.co/VYofmHrNef'
M,'Colombia alcanzó 30.753 muertes por COVID-19, y se registraron 8.717 nuevos casos https://t.co/r7IBFmGeNI https://t.co/SlW4Rp7MX9'
M,'Colombia registra este viernes 10.029 contagios y 209 muertes más por covid-19 ► https://t.co/fuotuosXR4 https://t.co/zNAmi0yu2V'
MM,'Departamento de Estado invitó a sus ciudadanos a reconsiderar eventuales viajes a Colombia debido al impacto del coronavirus y la violencia. https://t.co/8tugaIdOpQ'
MMM,'El 11 de junio de 1992 nueve impactos de bala acabaron con la vida de quien en el momento era considerado el ídolo del vallenato.  https://t.co/09dn8KrJrU'
N,'El expresidente Juan Manuel Santos reiteró que debe haber un cambio en la política antidrogas. El exmandatario está a favor de la regulación para arrebatarle el negocio al narcotráfico. https://t.co/3TIZhMxJ7L'
N,'El más reciente informe del Ministerio de Salud confirmó este domingo 8.574 pacientes recuperados en Colombia. Estas son las cifras ➡️ https://t.co/uLULaizUHk https://t.co/r7uQm1mxvv'
N,'El más reciente informe del Ministerio de Salud confirmó este lunes 7.992 pacientes recuperados en Colombia. Estas son las cifras ➡️ https://t.co/nlDprU7wEi https://t.co/cQh5YMwC9e'
N,'El más reciente informe del Ministerio de Salud confirmó este sábado 9.797 pacientes recuperados. Estas son las cifras ➡️ https://t.co/IbKOW32Dgd https://t.co/ecUrx0SGOh'
N,'El proceso giraba en torno a un titular del diario The Sun que cuestionaba al actor por presunta violencia intrafamiliar. https://t.co/7LCtYrgOFc'
MM,'En el marco de los convenios de cooperación internacional se incautaron 7 toneladas de drogas a este grupo delincuencial. https://t.co/jMeO9SvREk'
MMM,'Entre las víctimas, cuyos cuerpos fueron entregados a sus familiares, están tres menores de 17 años de edad. https://t.co/tr0Tt6i4p6'
MM,'Es urgente dialogar porque la violencia se está tomando al país: Feliciano Valencia  https://t.co/vW0k4qcFwL'
MM,'Esta riña se suma a otros hechos de violencia e inseguridad en la capital del país. Habitantes del sector piden mayor presencia de las autoridades. https://t.co/o8yX8fEsks'
MM,'Estas pistas serían utilizadas por grupos delincuenciales organizados como puntos de acopio, pero también para transportar estupefacientes hacia otros países https://t.co/j8xqkVPrFe'
MMM,'Incautan semisumergible con dos toneladas de cocaína que iban para México ► https://t.co/RGQHDjzfav https://t.co/CVZteROZXW'
MM,'Indisciplina en Antioquia: pese a preocupantes cifras de contagios y muertes por COVID-19, el fin de semana autoridades intervinieron varias fiestas https://t.co/vAmQAw8ZWF'
MMM,'Información preliminar señala que dos mujeres y un hombre fueron asesinados en la vereda El Vado, zona rural del municipio de Mercaderes, departamento del Cauca. https://t.co/jEtniqezYz'
N,'Johnny Depp perdió juicio contra The Sun por caso de violencia contra Amber Heard https://t.co/hx9jL472iQ'
MM,'La hermana de la víctima reclamó a la alcaldesa de Bogotá por los repetidos actos de inseguridad que se viven en Bogotá y pidió justicia para Oswaldo Muñoz. https://t.co/4kdbrHcKit'
N,'La huelga de trabajadores que adelanta Sintrabarbón ya completa 60 días, es decir, la hora cero anunciada para que el conflicto laboral se vaya a Tribunal de Arbitramento. https://t.co/7x4PG9Ttzg'
N,'La lucha contra el narcotráfico, el régimen de Venezuela y una mayor ayuda económica son los ejes sobre los que el nuevo mandatario deberá reforzar su apoyo al país. https://t.co/jaX2cnWkjL'
M,'La novia del exfutbolista lo acusa de violencia doméstica.  https://t.co/tHnArp5TdZ'
N,'La siembra ha traído la tranquilidad a la vida de dos hombres que con trabajo honrado luchan cada día por dejar atrás un pasado que duele. https://t.co/u43K7cNUWO'
MM,'La situación solo irá a peor, puesto que el cierre de negocios está condenando a miles de capitalinos a la desesperación y la miseria. https://t.co/dtRl1gzHNK'
N,'Las historias de la Bogotá noctámbula más impactantes de esta semana ► https://t.co/uzLrTMgTUC https://t.co/jHgNPMXwMb'
MMM,'Las víctimas pertenecían al consejo comunitario y, según organizaciones sociales, los responsables serían las disidencias de las Farc. https://t.co/akYIluMjKS'
MM,'Los hombres que Puerto Rico pide en extradición por tráfico de cocaína ➡️ https://t.co/gEZdpl3i0I https://t.co/YPGFCuh9sN'
M,'Más de 200 muertes por coronavirus en Colombia según el último informe del Instituto Nacional de Salud https://t.co/AOKexHVwiV'
